序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,002155,湖南黄金,10.011872291564941,27.8,57993886,43437785144.6,43441706473.6,0.13351023197174072,5473516674,092500,092500,0,2/2,2,贵金属
2,002291,遥望科技,9.960159301757812,8.28,1223221104,7196357235.599999,7746315580.799999,17.15863609313965,554165496,092500,095221,1,1/1,1,互联网服
3,002030,达安基因,9.985734939575195,7.71,2025323904,10820568906.72,10820568906.72,18.92525863647461,83947559,093021,102939,2,2/2,2,医疗器械
4,002009,天奇股份,9.996170043945312,28.72,2779478816,10170400181.68,11552137504.0,27.690773010253906,336084283,093057,100527,2,2/2,2,专用设备
5,002115,三维通信,10.0,15.73,1736380336,11832035718.36,12756893589.44,14.78897476196289,322697804,093106,095036,2,1/1,1,互联网服
6,002218,拓日新能,9.983360290527344,6.61,1718219808,9203752425.890001,9340065795.84,19.060781478881836,217056740,093133,093512,2,10/5,3,光伏设备
7,003042,中农联合,10.0,23.1,660014496,2942148709.5,3291288000.0,24.31800079345703,441682395,093148,094130,1,3/3,3,农药兽药
8,600877,电科芯片,9.986684799194336,24.78,1181282512,29340994211.760002,29340994112.640003,4.078731536865234,469356418,093318,093339,1,1/1,1,半导体
9,002634,棒杰股份,10.055866241455078,5.91,85126754,2638900919.58,2714773345.92,3.2746212482452393,114946190,093451,093451,0,1/1,1,纺织服装
10,603121,华培动力,10.009099960327148,24.18,315327840,8185745228.7,8185745156.16,3.8898913860321045,88646636,093730,093730,0,1/1,1,汽车零部
11,600916,中国黄金,9.960552215576172,11.15,2570814656,18732000000.0,18732000000.0,13.955924034118652,264450994,094007,101810,3,3/3,3,珠宝首饰
12,600172,黄河旋风,9.984639167785645,7.16,1936804976,9137991170.0,10326040876.800001,21.482192993164062,196983793,094026,103717,2,1/1,1,非金属材
13,000506,招金黄金,9.986001014709473,23.57,2141682192,21886733388.77,21896948603.2,10.1628999710083,1265709,095854,112915,6,7/4,2,贵金属
14,002995,天地在线,10.0,27.61,781396032,3103839112.88,4899518192.8,26.86805534362793,98290606,100048,100506,1,7/4,2,文化传媒
15,000592,平潭发展,9.989701271057129,10.68,2573386400,20453187355.32,20631419969.28,13.052961349487305,1109192471,100848,100848,0,3/2,1,农牧饲渔
16,002119,康强电子,10.0,24.75,2215691088,9288279000.0,9288279000.0,24.751747131347656,633839505,101300,104027,2,1/1,1,半导体
17,003031,中瓷电子,10.002593994140625,84.79,871865072,28841886253.840004,38244772338.560005,3.1341593265533447,565183600,101836,101836,0,1/1,1,通信设备
18,688110,东芯股份,20.00156593322754,153.23,6222705664,67765930418.34,67765930724.799995,9.572261810302734,1160352102,102225,102225,0,1/1,1,半导体
19,300689,澄天伟业,19.990995407104492,53.3,403159552,5393009874.2,6161480000.0,7.955645561218262,436249307,102421,102421,0,1/1,1,通信设备
20,603052,可川科技,10.0,56.43,417697696,10603043623.26,10603043623.26,4.14077091217041,225405572,103004,103004,0,1/1,1,电子元件
21,002524,光正眼科,10.099010467529297,5.56,581995120,2840366721.4399996,2865243518.08,22.077030181884766,204335560,103327,103348,1,2/2,2,医疗服务
22,605288,凯迪股份,10.002511024475098,131.42,133247351,9225541015.039999,9287847237.039999,1.509339690208435,110729235,103728,103728,0,1/1,1,专用设备
23,603929,亚翔集成,10.0,149.6,809224000,31918656000.0,31918656000.0,2.627718448638916,160924720,103928,103928,0,1/1,1,装修装饰
24,603163,圣晖集成,10.005414962768555,101.59,457541952,10159000000.0,10159000000.0,4.710916996002197,169407928,104322,104322,0,1/1,1,工程建设
25,603061,金海通,10.0,279.4,814649312,11686277719.599998,16763999999.999998,7.275088787078857,91837941,104324,104324,0,1/1,1,半导体
26,603120,肯特催化,9.990394592285156,45.8,225049480,1035079999.9999999,4140319999.9999995,22.567928314208984,250686437,111222,111425,1,1/1,1,化学制品
27,001267,汇绿生态,9.984338760375977,28.09,1295642640,17027014399.92,22055275636.48,7.970218181610107,684365012,112330,112330,0,1/1,1,工程建设
28,300806,斯迪克,20.0,50.04,2032463680,15823157006.88,22683156819.84,13.741185188293457,1030925130,112803,112803,0,1/1,1,塑料制品
